identifier,name,legality,keywords,text,rarity,image,pitch value,life,intellect,attack,defense,cost,stats,id,language,flavour,set,finish,edition,sku,number,set.id,set.name,set.released,set.browseable,set.draftable,set.0
blazing-aether,Blazing Aether,[],"['wizard', 'action']","**Kano Specialization** *(You may only have Blazing Aether in your deck if your hero is Kano.)*

Deal X arcane damage to target hero, where X is the amount of arcane damage you have dealt to that hero this turn.",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC118-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,0.0,,12539,en,,History Pack 1,Regular,{},1HP308,308,1hp,History Pack 1,2021-05-07,False,,
sonic-boom,Sonic Boom,[],"['wizard', 'action']","Deal 3 arcane damage to target opposing hero.

If Sonic Boom deals damage, look at the top card of your deck. If it's a Wizard 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant and it costs X resource points less to play, where X is the damage dealt by Sonic Boom.",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC119-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,2.0,,1083,en,,Arcane Rising,Rainbow foil,{},ARC119-RF,119,arc,Arcane Rising,2020-03-27,True,True,
sonic-boom,Sonic Boom,[],"['wizard', 'action']","Deal 3 arcane damage to target opposing hero.

If Sonic Boom deals damage, look at the top card of your deck. If it's a Wizard 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant and it costs X resource points less to play, where X is the damage dealt by Sonic Boom.",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC119-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,2.0,,1084,en,,Arcane Rising,Regular,{},ARC119,119,arc,Arcane Rising,2020-03-27,True,True,
sonic-boom,Sonic Boom,[],"['wizard', 'action']","Deal 3 arcane damage to target opposing hero.

If Sonic Boom deals damage, look at the top card of your deck. If it's a Wizard 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant and it costs X resource points less to play, where X is the damage dealt by Sonic Boom.",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC119-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,2.0,,1501,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC119-RF,119,arc,Arcane Rising,2020-03-27,True,True,
sonic-boom,Sonic Boom,[],"['wizard', 'action']","Deal 3 arcane damage to target opposing hero.

If Sonic Boom deals damage, look at the top card of your deck. If it's a Wizard 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant and it costs X resource points less to play, where X is the damage dealt by Sonic Boom.",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC119-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,2.0,,1502,en,,Arcane Rising Unlimited,Regular,{},U-ARC119,119,arc,Arcane Rising,2020-03-27,True,True,
sonic-boom,Sonic Boom,[],"['wizard', 'action']","Deal 3 arcane damage to target opposing hero.

If Sonic Boom deals damage, look at the top card of your deck. If it's a Wizard 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant and it costs X resource points less to play, where X is the damage dealt by Sonic Boom.",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC119-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,2.0,,11830,en,,History Pack 1,Regular,{},1HP312,312,1hp,History Pack 1,2021-05-07,False,,
forked-lightning,Forked Lightning,[],"['wizard', 'action']","Deal 2 arcane damage to target hero.

Deal 2 arcane damage to target hero.

*(Effects that modify damage, modify both damage effects of Forked Lightning. Forked Lightning is considered a single source of damage.)*",S,"https://fabdb2.imgix.net/cards/printings/ARC120-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,3.0,,1085,en,,Arcane Rising,Rainbow foil,{},ARC120-RF,120,arc,Arcane Rising,2020-03-27,True,True,
forked-lightning,Forked Lightning,[],"['wizard', 'action']","Deal 2 arcane damage to target hero.

Deal 2 arcane damage to target hero.

*(Effects that modify damage, modify both damage effects of Forked Lightning. Forked Lightning is considered a single source of damage.)*",S,"https://fabdb2.imgix.net/cards/printings/ARC120-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,3.0,,1086,en,,Arcane Rising,Regular,{},ARC120,120,arc,Arcane Rising,2020-03-27,True,True,
forked-lightning,Forked Lightning,[],"['wizard', 'action']","Deal 2 arcane damage to target hero.

Deal 2 arcane damage to target hero.

*(Effects that modify damage, modify both damage effects of Forked Lightning. Forked Lightning is considered a single source of damage.)*",S,"https://fabdb2.imgix.net/cards/printings/ARC120-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,3.0,,1503,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC120-RF,120,arc,Arcane Rising,2020-03-27,True,True,
forked-lightning,Forked Lightning,[],"['wizard', 'action']","Deal 2 arcane damage to target hero.

Deal 2 arcane damage to target hero.

*(Effects that modify damage, modify both damage effects of Forked Lightning. Forked Lightning is considered a single source of damage.)*",S,"https://fabdb2.imgix.net/cards/printings/ARC120-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,3.0,,1504,en,,Arcane Rising Unlimited,Regular,{},U-ARC120,120,arc,Arcane Rising,2020-03-27,True,True,
forked-lightning,Forked Lightning,[],"['wizard', 'action']","Deal 2 arcane damage to target hero.

Deal 2 arcane damage to target hero.

*(Effects that modify damage, modify both damage effects of Forked Lightning. Forked Lightning is considered a single source of damage.)*",S,"https://fabdb2.imgix.net/cards/printings/ARC120-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,3.0,,12540,en,,History Pack 1,Regular,{},1HP310,310,1hp,History Pack 1,2021-05-07,False,,
lesson-in-lava,Lesson in Lava,[],"['wizard', 'action']","**Kano Specialization** *(You may only have Lesson in Lava in your deck if your hero is Kano.)*

Deal 3 arcane damage to target opposing hero.

If Lesson in Lava deals damage, you may search your deck for a Wizard card with [Resource] cost equal to or less than the damage dealt by Lesson in Lava, reveal it, then shuffle your deck and put it on top of your deck.",S,"https://fabdb2.imgix.net/cards/printings/ARC121-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,1.0,,1087,en,,Arcane Rising,Rainbow foil,{},ARC121-RF,121,arc,Arcane Rising,2020-03-27,True,True,
lesson-in-lava,Lesson in Lava,[],"['wizard', 'action']","**Kano Specialization** *(You may only have Lesson in Lava in your deck if your hero is Kano.)*

Deal 3 arcane damage to target opposing hero.

If Lesson in Lava deals damage, you may search your deck for a Wizard card with [Resource] cost equal to or less than the damage dealt by Lesson in Lava, reveal it, then shuffle your deck and put it on top of your deck.",S,"https://fabdb2.imgix.net/cards/printings/ARC121-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,1.0,,1088,en,,Arcane Rising,Regular,{},ARC121,121,arc,Arcane Rising,2020-03-27,True,True,
lesson-in-lava,Lesson in Lava,[],"['wizard', 'action']","**Kano Specialization** *(You may only have Lesson in Lava in your deck if your hero is Kano.)*

Deal 3 arcane damage to target opposing hero.

If Lesson in Lava deals damage, you may search your deck for a Wizard card with [Resource] cost equal to or less than the damage dealt by Lesson in Lava, reveal it, then shuffle your deck and put it on top of your deck.",S,"https://fabdb2.imgix.net/cards/printings/ARC121-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,1.0,,1505,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC121-RF,121,arc,Arcane Rising,2020-03-27,True,True,
lesson-in-lava,Lesson in Lava,[],"['wizard', 'action']","**Kano Specialization** *(You may only have Lesson in Lava in your deck if your hero is Kano.)*

Deal 3 arcane damage to target opposing hero.

If Lesson in Lava deals damage, you may search your deck for a Wizard card with [Resource] cost equal to or less than the damage dealt by Lesson in Lava, reveal it, then shuffle your deck and put it on top of your deck.",S,"https://fabdb2.imgix.net/cards/printings/ARC121-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,1.0,,1506,en,,Arcane Rising Unlimited,Regular,{},U-ARC121,121,arc,Arcane Rising,2020-03-27,True,True,
lesson-in-lava,Lesson in Lava,[],"['wizard', 'action']","**Kano Specialization** *(You may only have Lesson in Lava in your deck if your hero is Kano.)*

Deal 3 arcane damage to target opposing hero.

If Lesson in Lava deals damage, you may search your deck for a Wizard card with [Resource] cost equal to or less than the damage dealt by Lesson in Lava, reveal it, then shuffle your deck and put it on top of your deck.",S,"https://fabdb2.imgix.net/cards/printings/ARC121-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,1.0,,12541,en,,History Pack 1,Regular,{},1HP311,311,1hp,History Pack 1,2021-05-07,False,,
tome-of-aetherwind,Tome of Aetherwind,[],"['wizard', 'action']","Choose 2. You may choose the same mode more than once;

* The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 1.
* Draw a card.",S,"https://fabdb2.imgix.net/cards/printings/ARC122-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,2.0,0.0,,1089,en,,Arcane Rising,Rainbow foil,{},ARC122-RF,122,arc,Arcane Rising,2020-03-27,True,True,
tome-of-aetherwind,Tome of Aetherwind,[],"['wizard', 'action']","Choose 2. You may choose the same mode more than once;

* The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 1.
* Draw a card.",S,"https://fabdb2.imgix.net/cards/printings/ARC122-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,2.0,0.0,,1090,en,,Arcane Rising,Regular,{},ARC122,122,arc,Arcane Rising,2020-03-27,True,True,
tome-of-aetherwind,Tome of Aetherwind,[],"['wizard', 'action']","Choose 2. You may choose the same mode more than once;

* The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 1.
* Draw a card.",S,"https://fabdb2.imgix.net/cards/printings/ARC122-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,2.0,0.0,,1507,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC122-RF,122,arc,Arcane Rising,2020-03-27,True,True,
tome-of-aetherwind,Tome of Aetherwind,[],"['wizard', 'action']","Choose 2. You may choose the same mode more than once;

* The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 1.
* Draw a card.",S,"https://fabdb2.imgix.net/cards/printings/ARC122-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,2.0,0.0,,1508,en,,Arcane Rising Unlimited,Regular,{},U-ARC122,122,arc,Arcane Rising,2020-03-27,True,True,
tome-of-aetherwind,Tome of Aetherwind,[],"['wizard', 'action']","Choose 2. You may choose the same mode more than once;

* The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 1.
* Draw a card.",S,"https://fabdb2.imgix.net/cards/printings/ARC122-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,2.0,0.0,,12542,en,,History Pack 1,Regular,{},1HP313,313,1hp,History Pack 1,2021-05-07,False,,
absorb-in-aether-red,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC123-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,4.0,1.0,,1091,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising,Rainbow foil,{},ARC123-RF,123,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-red,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC123-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,4.0,1.0,,1092,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising,Regular,{},ARC123,123,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-red,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC123-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,4.0,1.0,,1509,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising Unlimited,Rainbow foil,{},U-ARC123-RF,123,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-red,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC123-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,4.0,1.0,,1510,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising Unlimited,Regular,{},U-ARC123,123,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-yellow,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC124-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,1.0,,1093,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising,Rainbow foil,{},ARC124-RF,124,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-yellow,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC124-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,1.0,,1094,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising,Regular,{},ARC124,124,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-yellow,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC124-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,1.0,,1511,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising Unlimited,Rainbow foil,{},U-ARC124-RF,124,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-yellow,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC124-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,1.0,,1512,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising Unlimited,Regular,{},U-ARC124,124,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-blue,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC125-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,2.0,1.0,,1095,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising,Rainbow foil,{},ARC125-RF,125,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-blue,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC125-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,2.0,1.0,,1096,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising,Regular,{},ARC125,125,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-blue,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC125-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,2.0,1.0,,1513,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising Unlimited,Rainbow foil,{},U-ARC125-RF,125,arc,Arcane Rising,2020-03-27,True,True,
absorb-in-aether-blue,Absorb in Aether,[],"['wizard', 'defense', 'reaction']","The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC125-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,2.0,1.0,,1514,en,"The power of the Dracai burn in their veins, as they call upon the raging flames to guard their liege.",Arcane Rising Unlimited,Regular,{},U-ARC125,125,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-red,Aether Spindle,[],"['wizard', 'action']","Deal 4 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC126-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,2.0,,1097,en,,Arcane Rising,Rainbow foil,{},ARC126-RF,126,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-red,Aether Spindle,[],"['wizard', 'action']","Deal 4 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC126-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,2.0,,1098,en,,Arcane Rising,Regular,{},ARC126,126,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-red,Aether Spindle,[],"['wizard', 'action']","Deal 4 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC126-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,2.0,,1515,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC126-RF,126,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-red,Aether Spindle,[],"['wizard', 'action']","Deal 4 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC126-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,2.0,,1516,en,,Arcane Rising Unlimited,Regular,{},U-ARC126,126,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-red,Aether Spindle,[],"['wizard', 'action']","Deal 4 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC126-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,2.0,,11831,en,,History Pack 1,Regular,{},1HP314,314,1hp,History Pack 1,2021-05-07,False,,
aether-spindle-yellow,Aether Spindle,[],"['wizard', 'action']","Deal 3 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC127-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,2.0,,1099,en,,Arcane Rising,Rainbow foil,{},ARC127-RF,127,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-yellow,Aether Spindle,[],"['wizard', 'action']","Deal 3 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC127-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,2.0,,1100,en,,Arcane Rising,Regular,{},ARC127,127,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-yellow,Aether Spindle,[],"['wizard', 'action']","Deal 3 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC127-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,2.0,,1517,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC127-RF,127,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-yellow,Aether Spindle,[],"['wizard', 'action']","Deal 3 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC127-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,2.0,,1518,en,,Arcane Rising Unlimited,Regular,{},U-ARC127,127,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-yellow,Aether Spindle,[],"['wizard', 'action']","Deal 3 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC127-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,2.0,,11832,en,,History Pack 1,Regular,{},1HP315,315,1hp,History Pack 1,2021-05-07,False,,
aether-spindle-blue,Aether Spindle,[],"['wizard', 'action']","Deal 2 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC128-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,3.0,2.0,,1101,en,,Arcane Rising,Rainbow foil,{},ARC128-RF,128,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-blue,Aether Spindle,[],"['wizard', 'action']","Deal 2 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC128-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,3.0,2.0,,1102,en,,Arcane Rising,Regular,{},ARC128,128,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-blue,Aether Spindle,[],"['wizard', 'action']","Deal 2 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC128-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,3.0,2.0,,1519,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC128-RF,128,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-blue,Aether Spindle,[],"['wizard', 'action']","Deal 2 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC128-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,3.0,2.0,,1520,en,,Arcane Rising Unlimited,Regular,{},U-ARC128,128,arc,Arcane Rising,2020-03-27,True,True,
aether-spindle-blue,Aether Spindle,[],"['wizard', 'action']","Deal 2 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Rare,"https://fabdb2.imgix.net/cards/printings/ARC128-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,3.0,2.0,,11833,en,,History Pack 1,Regular,{},1HP316,316,1hp,History Pack 1,2021-05-07,False,,
stir-the-aetherwinds-red,Stir the Aetherwinds,[],"['wizard', 'action']","You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 3.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC129-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,2.0,2.0,,1103,en,,Arcane Rising,Rainbow foil,{},ARC129-RF,129,arc,Arcane Rising,2020-03-27,True,True,
stir-the-aetherwinds-red,Stir the Aetherwinds,[],"['wizard', 'action']","You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 3.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC129-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,2.0,2.0,,1104,en,,Arcane Rising,Regular,{},ARC129,129,arc,Arcane Rising,2020-03-27,True,True,
stir-the-aetherwinds-red,Stir the Aetherwinds,[],"['wizard', 'action']","You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 3.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC129-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,2.0,2.0,,1521,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC129-RF,129,arc,Arcane Rising,2020-03-27,True,True,
stir-the-aetherwinds-red,Stir the Aetherwinds,[],"['wizard', 'action']","You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 3.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC129-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,2.0,2.0,,1522,en,,Arcane Rising Unlimited,Regular,{},U-ARC129,129,arc,Arcane Rising,2020-03-27,True,True,
stir-the-aetherwinds-red,Stir the Aetherwinds,[],"['wizard', 'action']","You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 3.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC129-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,2.0,2.0,,11837,en,,History Pack 1,Regular,{},1HP320,320,1hp,History Pack 1,2021-05-07,False,,
stir-the-aetherwinds-yellow,Stir the Aetherwinds,[],"['wizard', 'action']","You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC130-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,2.0,2.0,,1105,en,,Arcane Rising,Rainbow foil,{},ARC130-RF,130,arc,Arcane Rising,2020-03-27,True,True,
stir-the-aetherwinds-yellow,Stir the Aetherwinds,[],"['wizard', 'action']","You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC130-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,2.0,2.0,,1106,en,,Arcane Rising,Regular,{},ARC130,130,arc,Arcane Rising,2020-03-27,True,True,
stir-the-aetherwinds-yellow,Stir the Aetherwinds,[],"['wizard', 'action']","You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC130-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,2.0,2.0,,1523,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC130-RF,130,arc,Arcane Rising,2020-03-27,True,True,
stir-the-aetherwinds-yellow,Stir the Aetherwinds,[],"['wizard', 'action']","You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 2.",Rare,"https://fabdb2.imgix.net/cards/printings/ARC130-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,2.0,2.0,,1524,en,,Arcane Rising Unlimited,Regular,{},U-ARC130,130,arc,Arcane Rising,2020-03-27,True,True,
