product,rarity,number,market price,listed median
Ash (Cold Foil) // Aether Ashwing (Cold Foil),Common,UPR043,$8.75,—
Ash (Marvel) // Aether Ashwing (Marvel),Marvel,UPR043,$71.86,—
Billowing Mirage (Blue),Common,UPR020,$0.12,—
Billowing Mirage (Red),Common,UPR018,$0.07,—
Billowing Mirage (Yellow),Common,UPR019,$0.05,—
Blaze Headlong,Common,UPR092,$0.13,—
Blood of the Dracai,Fabled,UPR000,$200.42,—
Brain Freeze (Blue),Common,UPR118,$0.07,—
Brain Freeze (Red),Common,UPR116,$0.06,—
Brain Freeze (Yellow),Common,UPR117,$0.06,—
Brand with Cinderclaw (Blue),Common,UPR062,$0.10,—
Brand with Cinderclaw (Red),Common,UPR060,$0.07,—
Brand with Cinderclaw (Yellow),Common,UPR061,$0.09,—
Breaking Point,Common,UPR093,$0.10,—
Brothers in Arms (Blue),Common,UPR205,$0.08,—
Brothers in Arms (Red),Common,UPR203,$0.09,—
Brothers in Arms (Yellow),Common,UPR204,$0.10,—
Burn Away,Common,UPR094,$0.09,—
Burn Them All,Majestic,UPR005,$3.32,—
Channel the Bleak Expanse,Majestic,UPR138,$0.35,—
Cinderskin Devotion (Blue),Common,UPR065,$0.07,—
Cinderskin Devotion (Red),Common,UPR063,$0.05,—
Cinderskin Devotion (Yellow),Common,UPR064,$0.07,—
Cold Snap (Blue),Common,UPR149,$0.09,—
Cold Snap (Red),Common,UPR147,$0.10,—
Cold Snap (Yellow),Common,UPR148,$0.05,—
Combustion Point,Majestic,UPR050,$0.22,—
Conduit of Frostburn,Common,UPR125,$0.07,—
Coronet Peak,Legendary,UPR136,$37.89,—
Cracked Bauble,Token,UPR224,$0.09,—
Critical Strike (Blue),Common,UPR208,$0.12,—
Critical Strike (Red),Common,UPR206,$0.06,—
Critical Strike (Yellow),Common,UPR207,$0.06,—
Crown of Providence,Legendary,UPR182,$328.81,—
Dampen (Blue),Rare,UPR172,$0.11,—
Dampen (Red),Rare,UPR170,$0.11,—
Dampen (Yellow),Rare,UPR171,$0.12,—
Double Strike,Majestic,UPR160,$0.98,—
Dragons of Legend Invocation Placeholder Card,Token,UPR225,$0.13,—
Dromai // Waning Moon,Token,UPR002//UPR165,$0.06,—
"Dromai, Ash Artist // Dromai",Token,UPR001//UPR002,$0.30,—
Dunebreaker Cenipai (Blue),Common,UPR023,$0.09,—
Dunebreaker Cenipai (Red),Common,UPR021,$0.07,—
Dunebreaker Cenipai (Yellow),Common,UPR022,$0.10,—
Dust Runner Outlaw (Blue),Common,UPR068,$0.08,—
Dust Runner Outlaw (Red),Common,UPR066,$0.04,—
Dust Runner Outlaw (Yellow),Common,UPR067,$0.06,—
Dustup (Blue),Common,UPR026,$0.10,—
Dustup (Red),Common,UPR024,$0.08,—
Dustup (Yellow),Common,UPR025,$0.05,—
Embermaw Cenipai (Blue),Common,UPR029,$0.10,—
Embermaw Cenipai (Red),Common,UPR027,$0.09,—
Embermaw Cenipai (Yellow),Common,UPR028,$0.09,—
Encase,Majestic,UPR104,$0.46,—
Engulfing Flamewave (Blue),Rare,UPR053,$0.10,—
Engulfing Flamewave (Red),Rare,UPR051,$0.12,—
Engulfing Flamewave (Yellow),Rare,UPR052,$0.07,—
Erase Face,Majestic,UPR187,$2.65,—
Fai // Storm of Sandikai,Token,UPR045//UPR003,$0.07,—
"Fai, Rising Rebellion // Fai",Token,UPR044//UPR045,$0.21,—
Flameborn Retribution,Common,UPR095,$0.10,—
Flamecall Awakening,Common,UPR096,$0.07,—
Flamecall Awakening (Extended Art),Common,UPR096,$4.54,—
Flamescale Furnace,Legendary,UPR084,$146.34,—
Flex (Blue),Rare,UPR193,$0.07,—
Flex (Red),Rare,UPR191,$0.10,—
Flex (Yellow),Rare,UPR192,$0.11,—
Fog Down,Majestic,UPR190,$0.35,—
Freezing Point,Majestic,UPR105,$0.33,—
Frightmare,Majestic,UPR153,$0.32,—
Frost Hex,Majestic,UPR126,$0.54,—
Frostbite // Helio's Mitre,Token,UPR150/UPR183,$0.11,—
Frosting (Blue),Common,UPR132,$0.06,—
Frosting (Red),Common,UPR130,$0.06,—
Frosting (Yellow),Common,UPR131,$0.04,—
Fyendal's Fighting Spirit (Blue),Rare,UPR196,$0.21,—
Fyendal's Fighting Spirit (Red),Rare,UPR194,$0.40,—
Fyendal's Fighting Spirit (Yellow),Rare,UPR195,$0.18,—
Ghostly Touch,Legendary,UPR151,$59.99,—
Ghostly Touch (Golden) - FAB085,Promo,FAB085,—,—
Glacial Horns,Common,UPR137,$0.06,—
Healing Balm (Blue),Common,UPR217,$0.04,—
Healing Balm (Red),Common,UPR215,$0.10,—
Healing Balm (Yellow),Common,UPR216,$0.05,—
Heat Wave,Common,UPR047,$0.06,—
Helio's Mitre,Common,UPR183,$1.87,—
Hypothermia,Majestic,UPR139,$0.55,—
Ice Bolt (Blue),Common,UPR135,$0.08,—
Ice Bolt (Red),Common,UPR133,$0.05,—
Ice Bolt (Yellow),Common,UPR134,$0.04,—
Ice Eternal,Rare,UPR109,$0.18,—
Icebind (Blue),Common,UPR121,$0.07,—
Icebind (Red),Common,UPR119,$0.07,—
Icebind (Yellow),Common,UPR120,$0.05,—
Inflame,Common,UPR097,$0.07,—
Inflame (Extended Art),Common,UPR097,$1.02,—
Insidious Chill,Majestic,UPR140,$1.21,—
Invoke Azvolai // Azvolai,Rare,UPR009,$0.81,—
Invoke Azvolai // Azvolai (Marvel),Marvel,UPR009,$32.32,—
Invoke Cromai // Cromai,Rare,UPR010,$0.73,—
Invoke Cromai // Cromai (Marvel),Marvel,UPR010,$22.87,—
Invoke Dominia // Dominia,Majestic,UPR008,$3.79,—
Invoke Dominia // Dominia (Marvel),Marvel,UPR008,$126.01,—
Invoke Dracona Optimai // Dracona Optimai,Majestic,UPR006,$2.27,—
Invoke Dracona Optimai // Dracona Optimai (Marvel),Marvel,UPR006,$131.09,—
Invoke Kyloria // Kyloria,Rare,UPR011,$0.83,—
Invoke Kyloria // Kyloria (Marvel),Marvel,UPR011,$23.48,—
Invoke Miragai // Miragai,Rare,UPR012,$0.90,—
Invoke Miragai // Miragai (Marvel),Marvel,UPR012,$33.07,—
Invoke Nekria // Nekria,Rare,UPR013,$0.33,—
Invoke Nekria // Nekria (Marvel),Marvel,UPR013,$16.48,—
Invoke Ouvia // Ouvia,Rare,UPR014,$0.31,—
Invoke Ouvia // Ouvia (Marvel),Marvel,UPR014,$17.60,—
Invoke Themai // Themai,Rare,UPR015,$0.31,—
Invoke Themai // Themai (Marvel),Marvel,UPR015,$19.18,—
Invoke Tomeltai // Tomeltai,Majestic,UPR007,$2.69,—
Invoke Tomeltai // Tomeltai (Marvel),Marvel,UPR007,$175.27,—
Invoke Vynserakai // Vynserakai,Rare,UPR016,$0.43,—
Invoke Vynserakai // Vynserakai (Marvel),Marvel,UPR016,$17.47,—
Invoke Yendurai // Yendurai,Rare,UPR017,$0.77,—
Invoke Yendurai // Yendurai (Marvel),Marvel,UPR017,$25.80,—
Isenhowl Weathervane (Blue),Rare,UPR143,$0.13,—
Isenhowl Weathervane (Red),Rare,UPR141,$0.11,—
Isenhowl Weathervane (Yellow),Rare,UPR142,$0.14,—
Iyslander (Marvel),Marvel,UPR103,$100.08,—
Iyslander // Searing Emberblade,Token,UPR103//UPR046,$0.05,—
"Iyslander, Stormbind // Iyslander",Token,UPR102//UPR103,$0.24,—
Lava Burst,Common,UPR098,$0.10,—
Lava Vein Loyalty (Blue),Common,UPR071,$0.08,—
Lava Vein Loyalty (Red),Common,UPR069,$0.05,—
Lava Vein Loyalty (Yellow),Common,UPR070,$0.07,—
Liquefy,Majestic,UPR087,$0.19,—
Mounting Anger (Blue),Rare,UPR056,$0.14,—
Mounting Anger (Red),Rare,UPR054,$0.33,—
Mounting Anger (Yellow),Rare,UPR055,$0.09,—
Oasis Respite (Blue),Common,UPR223,$0.07,—
Oasis Respite (Red),Common,UPR221,$0.18,—
Oasis Respite (Yellow),Common,UPR222,$0.14,—
Phoenix Flame,Token,UPR101,$0.07,—
Phoenix Flame (Marvel),Marvel,UPR101,$17.88,—
Phoenix Form,Majestic,UPR048,$0.41,—
Phoenix Form (Extended Art),Majestic,UPR048,$8.30,—
Polar Cap (Blue),Common,UPR124,$0.05,—
Polar Cap (Red),Common,UPR122,$0.07,—
Polar Cap (Yellow),Common,UPR123,$0.05,—
Quelling Robe,Common,UPR184,$0.06,—
Quelling Sleeves,Common,UPR185,$0.08,—
Quelling Slippers,Common,UPR186,$0.07,—
Rake the Embers (Blue),Common,UPR035,$0.12,—
Rake the Embers (Red),Common,UPR033,$0.07,—
Rake the Embers (Yellow),Common,UPR034,$0.07,—
Rapid Reflex (Blue),Rare,UPR164,$0.11,—
Rapid Reflex (Red),Rare,UPR162,$0.16,—
Rapid Reflex (Yellow),Rare,UPR163,$0.15,—
Read the Ripples (Blue),Common,UPR178,$0.09,—
Read the Ripples (Red),Common,UPR176,$0.09,—
Read the Ripples (Yellow),Common,UPR177,$0.10,—
Rebellious Rush (Blue),Common,UPR074,$0.07,—
Rebellious Rush (Red),Common,UPR072,$0.09,—
Rebellious Rush (Yellow),Common,UPR073,$0.06,—
Red Hot,Rare,UPR090,$0.13,—
Rewind,Majestic,UPR169,$0.21,—
Rewind (Alternate Art),Majestic,UPR169,$12.14,—
Rise from the Ashes (Blue),Rare,UPR059,$0.13,—
Rise From the Ashes (Red),Rare,UPR057,$0.19,—
Rise from the Ashes (Yellow),Rare,UPR058,$0.10,—
Rise Up,Rare,UPR091,$0.10,—
Rising Resentment (Blue),Common,UPR077,$0.12,—
Rising Resentment (Red),Common,UPR075,$0.10,—
Rising Resentment (Yellow),Common,UPR076,$0.10,—
Ronin Renegade (Blue),Common,UPR080,$0.07,—
Ronin Renegade (Red),Common,UPR078,$0.08,—
Ronin Renegade (Yellow),Common,UPR079,$0.13,—
Sand Cover (Blue),Common,UPR041,$0.09,—
Sand Cover (Red),Common,UPR039,$0.12,—
Sand Cover (Yellow),Common,UPR040,$0.10,—
Sash of Sandikai,Common,UPR085,$0.10,—
Scar for a Scar (Blue),Common,UPR211,$0.09,—
Scar for a Scar (Red),Common,UPR209,$0.13,—
Scar for a Scar (Yellow),Common,UPR210,$0.04,—
Searing Touch,Common,UPR099,$0.14,—
Semblance,Majestic,UPR154,$0.35,—
Sift (Blue),Rare,UPR199,$0.23,—
Sift (Red),Rare,UPR197,$0.17,—
Sift (Yellow),Rare,UPR198,$0.22,—
Sigil of Permafrost (Blue),Rare,UPR108,$0.10,—
Sigil of Permafrost (Red),Rare,UPR106,$0.18,—
Sigil of Permafrost (Yellow),Rare,UPR107,$0.14,—
Sigil of Protection (Blue),Common,UPR220,$0.08,—
Sigil of Protection (Red),Common,UPR218,$0.08,—
Sigil of Protection (Yellow),Common,UPR219,$0.08,—
Silent Stilettos,Common,UPR152,$0.13,—
Silken Form,Common,UPR004,$0.07,—
Singe (Blue),Common,UPR181,$0.10,—
Singe (Red),Common,UPR179,$0.11,—
Singe (Yellow),Common,UPR180,$0.09,—
Skittering Sands (Blue),Common,UPR038,$0.06,—
Skittering Sands (Red),Common,UPR036,$0.08,—
Skittering Sands (Yellow),Common,UPR037,$0.06,—
Soaring Strike (Blue),Common,UPR083,$0.10,—
Soaring Strike (Red),Common,UPR081,$0.10,—
Soaring Strike (Yellow),Common,UPR082,$0.06,—
Spellfire Cloak,Common,UPR167,$0.08,—
Spreading Flames,Majestic,UPR049,$1.02,—
Stoke the Flames,Common,UPR100,$0.07,—
Stoke the Flames (Extended Art),Common,UPR100,$0.71,—
Strategic Planning (Blue),Rare,UPR202,$0.07,—
Strategic Planning (Red),Rare,UPR200,$0.10,—
Strategic Planning (Yellow),Rare,UPR201,$0.10,—
Succumb to Winter (Blue),Rare,UPR112,$0.09,—
Succumb to Winter (Red),Rare,UPR110,$0.09,—
Succumb to Winter (Yellow),Rare,UPR111,$0.09,—
Sweeping Blow (Blue),Common,UPR032,$0.08,—
Sweeping Blow (Red),Common,UPR030,$0.07,—
Sweeping Blow (Yellow),Common,UPR031,$0.12,—
Take the Tempo,Majestic,UPR161,$0.61,—
That All You Got?,Majestic,UPR189,$2.09,—
Thaw,Majestic,UPR086,$0.28,—
Tide Flippers,Common,UPR159,$0.11,—
Tiger Stripe Shuko,Legendary,UPR158,$92.68,—
Tome of Duplicity,Majestic,UPR168,$0.19,—
Tome of Firebrand,Majestic,UPR089,$0.36,—
Trade In (Blue),Common,UPR214,$0.07,—
Trade In (Red),Common,UPR212,$0.09,—
Trade In (Yellow),Common,UPR213,$0.10,—
Transmogrify (Blue),Rare,UPR157,$0.08,—
Transmogrify (Red),Rare,UPR155,$0.10,—
Transmogrify (Yellow),Rare,UPR156,$0.09,—
Uprising,Majestic,UPR088,$0.44,—
Vipox,Majestic,UPR188,$0.59,—
Alpha Rampage,Majestic,RVD008,$0.43,—
Awakening Bellow,Common,RVD014,$0.15,—
Bare Fangs,Common,RVD011,$0.13,—
Barraging Beatdown,Rare,RVD021,$0.20,—
Beast Mode,Rare,RVD009,$0.23,—
Blade Flash,Common,DVR023,$0.56,—
Blossom of Spring (Dorinthea),Common,DVR004,$1.42,—
Blossom of Spring (Rhinar),Common,RVD004,$1.31,—
Bone Basher,Common,RVD002,$0.31,—
Bone Vizier,Common,RVD003,$0.28,—
Chief Ruk'utan,Majestic,RVD007,$0.53,—
Clearing Bellow,Rare,RVD025,$0.96,—
Come to Fight,Common,RVD024,—,—
"Dawnblade, Resplendent",Majestic,DVR002,$0.90,—
Dodge,Common,RVD026,$0.21,—
"Dorinthea, Quicksilver Prodigy",Majestic,DVR001,$0.86,—
Driving Blade,Common,DVR017,$0.13,—
En Garde,Common,DVR009,$0.21,—
Flock of the Featherwalkers,Common,DVR026,$0.25,—
Gallantry Gold,Common,DVR005,$0.37,—
Glistening Steelblade,Majestic,DVR008,$30.86,—
Hala Goldenhelm,Majestic,DVR007,$0.38,—
Hit and Run,Common,DVR021,$0.23,—
In the Swing,Common,DVR015,$0.12,—
Ironhide Gauntlet,Common,RVD005,$0.36,—
Ironhide Legs,Common,RVD006,$0.30,—
Ironrot Helm,Common,DVR003,$0.24,—
Ironrot Legs,Common,DVR006,$0.27,—
Ironsong Response,Common,DVR016,$0.14,—
Muscle Mutt,Common,RVD018,$0.19,—
On a Knife Edge,Common,DVR019,$0.24,—
Out for Blood,Common,DVR020,$0.16,—
Pack Call,Rare,RVD015,$1.99,—
Pack Hunt,Common,RVD010,$0.13,—
Quicken,Token,DVR028,$0.15,—
Raging Onslaught,Common,RVD019,$0.13,—
Rally the Rearguard,Common,RVD022,$0.17,—
Rhinar,Majestic,RVD001,$1.03,—
Run Through,Rare,DVR013,$1.53,—
Second Swing,Common,DVR010,$0.20,—
Sharpen Steel,Common,DVR012,$0.16,—
Sigil of Solace,Rare,DVR025,$0.21,—
Slice and Dice,Rare,DVR018,$0.19,—
Smash Instinct,Common,RVD016,$0.21,—
Smash With Big Tree,Common,RVD017,$0.15,—
Thrust,Common,DVR014,$0.36,—
Titanium Bauble (Dorinthea),Common,DVR027,$0.28,—
Titanium Bauble (Rhinar),Common,RVD027,$0.23,—
Toughen Up,Common,DVR024,$0.24,—
Visit the Blacksmith,Common,DVR022,$0.28,—
Warriors Valor,Rare,DVR011,$0.20,—
Wild Ride,Common,RVD012,$0.13,—
Wounded Bull,Common,RVD020,—,—
Wrecker Romp,Common,RVD023,$0.18,—
Wrecking Ball,Rare,RVD013,$0.23,—
Achilles Accelerator,Common,1HP186,$0.25,—
Aether Conduit,Rare,1HP304,$0.12,—
Aether Flare (Blue),Common,1HP325,$0.18,—
Aether Flare (Red),Common,1HP323,$0.16,—
Aether Flare (Yellow),Common,1HP324,$0.15,—
Aether Sink,Rare,1HP199,$0.13,—
Aether Spindle (Blue),Rare,1HP316,$0.20,—
Aether Spindle (Red),Rare,1HP314,$0.33,—
Aether Spindle (Yellow),Rare,1HP315,$0.12,—
Alpha Rampage,Majestic,1HP010,$0.47,—
Amplify the Arknight (Blue),Common,1HP284,$0.22,—
Amplify the Arknight (Red),Common,1HP282,$0.25,—
Amplify the Arknight (Yellow),Common,1HP283,$0.25,—
Ancestral Empowerment,Majestic,1HP103,$4.75,—
Anothos,Common,1HP045,$0.55,—
Arknight Ascendancy,Majestic,1HP265,$0.50,—
Art of War,Majestic,1HP366,$39.31,—
Azalea,Common,1HP222,$0.56,—
"Azalea, Ace in the Hole",Common,1HP221,$0.39,—
Barkbone Strapping,Common,1HP008,$0.13,—
Barraging Beatdown (Blue),Rare,1HP024,$0.21,—
Barraging Beatdown (Red),Rare,1HP022,$0.19,—
Barraging Beatdown (Yellow),Rare,1HP023,$0.19,—
Beast Within,Majestic,1HP011,$4.83,—
Become the Arknight,Majestic,1HP267,$1.31,—
"Benji, the Piercing Wind",Rare,1HP088,$0.74,—
Bittering Thorns,Common,1HP134,$0.14,—
Blackout Kick (Blue),Rare,1HP106,$0.24,—
Blackout Kick (Red),Rare,1HP104,$0.19,—
Blackout Kick (Yellow),Rare,1HP105,$0.15,—
Blazing Aether,Majestic,1HP308,$1.93,—
Blessing of Deliverance (Blue),Rare,1HP063,$0.22,—
Blessing of Deliverance (Red),Rare,1HP061,$0.26,—
Blessing of Deliverance (Yellow),Rare,1HP062,$0.13,—
Bloodrush Bellow,Majestic,1HP014,$2.21,—
Bloodsheath Skeleta,Majestic,1HP264,$1.27,—
Bloodspill Invocation (Blue),Common,1HP293,$0.35,—
Bloodspill Invocation (Red),Common,1HP291,$0.25,—
Bloodspill Invocation (Yellow),Common,1HP292,$0.22,—
Bracers of Belief,Common,1HP355,$0.12,—
Braveforge Bracers,Legendary,1HP144,$37.59,—
Bravo,Token,1HP044,$0.47,—
"Bravo, Showstopper",Token,1HP043,$0.37,—
Breaking Scales,Common,1HP096,$0.16,—
Breakneck Battery (Blue),Rare,1HP018,$0.15,—
Breakneck Battery (Red),Rare,1HP016,$0.14,—
Breakneck Battery (Yellow),Rare,1HP017,$0.12,—
Breeze Rider Boots,Majestic,1HP097,$4.49,—
Bull's Eye Bracers,Common,1HP226,$0.16,—
Cartilage Crush (Blue),Common,1HP069,$0.14,—
Cartilage Crush (Red),Common,1HP067,$0.21,—
Cartilage Crush (Yellow),Common,1HP068,$0.15,—
Chain Lightning,Majestic,1HP309,$0.65,—
Chokeslam (Blue),Common,1HP072,$0.25,—
Chokeslam (Red),Common,1HP070,$0.24,—
Chokeslam (Yellow),Common,1HP071,$0.24,—
Cindering Foresight (Blue),Rare,1HP319,$0.17,—
Cindering Foresight (Red),Rare,1HP317,$0.16,—
Cindering Foresight (Yellow),Rare,1HP318,$0.15,—
Cintari Saber (1HP141),Rare,1HP141,$0.22,—
Cintari Saber (1HP142),Rare,1HP142,$0.72,—
Coax a Commotion,Majestic,1HP359,$1.25,—
Cognition Nodes,Rare,1HP200,$0.18,—
Combustible Courier (Blue),Common,1HP204,$0.20,—
Combustible Courier (Red),Common,1HP202,$0.21,—
Combustible Courier (Yellow),Common,1HP203,$0.20,—
Come to Fight (Blue),Common,1HP416,$0.15,—
Come to Fight (Red),Common,1HP414,$0.11,—
Come to Fight (Yellow),Common,1HP415,$0.15,—
Command and Conquer,Majestic,1HP360,$80.38,—
Convection Amplifier,Rare,1HP201,$0.13,—
Copper,Common,1HP426,$0.21,—
Courage of Bladehold,Majestic,1HP146,$16.40,—
Crane Dance (Blue),Rare,1HP109,$0.25,—
Crane Dance (Red),Rare,1HP107,$0.16,—
Crane Dance (Yellow),Rare,1HP108,$0.19,—
Crater Fist,Majestic,1HP049,$11.02,—
Crazy Brew,Majestic,1HP363,$0.38,—
Crippling Crush,Majestic,1HP050,$1.49,—
Crown of Dichotomy,Common,1HP263,$0.15,—
Crucible of Aetherweave,Common,1HP303,$0.70,—
Crush Confidence (Blue),Common,1HP075,$0.24,—
Crush Confidence (Red),Common,1HP073,$0.27,—
Crush Confidence (Yellow),Common,1HP074,$0.08,—
Dash,Common,1HP181,$1.24,—
"Dash, Inventor Extraordinaire",Common,1HP180,$0.49,—
Data Doll MKII,Rare,1HP182,$0.46,—
Dawnblade,Common,1HP143,$0.86,—
Death Dealer,Common,1HP223,$0.98,—
Debilitate (Blue),Common,1HP078,$0.23,—
Debilitate (Red),Common,1HP076,$0.19,—
Debilitate (Yellow),Common,1HP077,—,—
Disable (Blue),Rare,1HP057,$0.30,—
Disable (Red),Rare,1HP055,$0.22,—
Disable (Yellow),Rare,1HP056,$0.32,—
Dissipation Shield,Common,1HP217,$0.11,—
Dorinthea,Common,1HP139,$0.62,—
Dorinthea Ironsong,Common,1HP138,$0.68,—
Dread Triptych,Majestic,1HP266,$2.41,—
Driving Blade (Blue),Common,1HP173,$0.15,—
Driving Blade (Red),Common,1HP171,$0.12,—
Driving Blade (Yellow),Common,1HP172,$0.09,—
Edge of Autumn,Rare,1HP090,$0.16,—
Eirina's Prayer (Blue),Rare,1HP386,$0.08,—
Eirina's Prayer (Red),Rare,1HP384,$0.21,—
Eirina's Prayer (Yellow),Rare,1HP385,$0.08,—
Emerging Dominance (Blue),Common,1HP081,$0.29,—
Emerging Dominance (Red),Common,1HP079,$0.23,—
Emerging Dominance (Yellow),Common,1HP080,—,—
Enchanting Melody (Blue),Rare,1HP377,$0.19,—
Enchanting Melody (Red),Rare,1HP375,$0.21,—
Enchanting Melody (Yellow),Rare,1HP376,$0.15,—
Endless Arrow,Majestic,1HP228,$4.97,—
Energy Potion,Rare,1HP381,$1.31,—
Enlightened Strike,Majestic,1HP361,$27.94,—
Fate Foreseen (Blue),Common,1HP407,$0.21,—
Fate Foreseen (Red),Common,1HP405,$0.57,—
Fate Foreseen (Yellow),Common,1HP406,$0.16,—
Feign Death,Majestic,1HP233,$0.62,—
Find Center,Majestic,1HP098,$0.99,—
Flic Flak (Blue),Rare,1HP115,$0.17,—
Flic Flak (Red),Rare,1HP113,$0.23,—
Flic Flak (Yellow),Rare,1HP114,$0.21,—
Flock of the Feather Walkers (Blue),Common,1HP392,$0.18,—
Flock of the Feather Walkers (Red),Common,1HP390,$0.14,—
Flock of the Feather Walkers (Yellow),Common,1HP391,—,—
Flood of Force,Majestic,1HP099,$0.69,—
Forked Lightning,Majestic,1HP310,$0.50,—
Fyendal's Spring Tunic,Legendary,1HP341,$200.56,—
Gambler's Gloves,Majestic,1HP358,$7.65,—
Glint the Quicksilver,Majestic,1HP147,$3.51,—
Goliath Gauntlet,Common,1HP352,$0.20,—
Gorganian Tome,Majestic,1HP364,$4.41,—
Grasp of the Arknight,Legendary,1HP262,$69.68,—
Harmonized Kodachi (1HP091),Common,1HP091,$0.56,—
Harmonized Kodachi (1HP092),Common,1HP092,$0.62,—
Head Shot (Blue),Common,1HP242,$0.18,—
Head Shot (Red),Common,1HP240,$0.10,—
Head Shot (Yellow),Common,1HP241,$0.12,—
Heartened Cross Strap,Common,1HP351,$0.19,—
Helm of Isen's Peak,Common,1HP048,$0.22,—
Heron's Flight,Majestic,1HP100,$0.29,—
High Octane,Majestic,1HP188,$4.52,—
High Speed Impact (Blue),Rare,1HP195,$0.70,—
High Speed Impact (Red),Rare,1HP193,$0.50,—
High Speed Impact (Yellow),Rare,1HP194,$0.24,—
Hit and Run (Blue),Common,1HP176,$0.24,—
Hit and Run (Red),Common,1HP174,$0.27,—
Hit and Run (Yellow),Common,1HP175,$0.21,—
Hope Merchant's Hood,Common,1HP350,$0.20,—
Hyper Driver,Common,1HP218,$0.10,—
Induction Chamber,Majestic,1HP189,$1.21,—
"Ira, Crimson Haze",Common,1HP089,$0.40,—
Ironrot Gauntlet,Common,1HP344,$0.22,—
Ironrot Helm,Common,1HP342,$0.19,—
Ironrot Legs,Common,1HP345,$0.23,—
Ironrot Plate,Common,1HP343,$0.20,—
Ironsong Response (Blue),Common,1HP164,$0.10,—
Ironsong Response (Red),Common,1HP162,$0.13,—
Ironsong Response (Yellow),Common,1HP163,$0.11,—
Kano,Common,1HP302,$0.62,—
"Kano, Dracai of Aether",Common,1HP301,$0.39,—
"Kassai, Cintari Sellsword",Rare,1HP140,$0.68,—
Katsu,Common,1HP087,$0.47,—
"Katsu, the Wanderer",Common,1HP086,$0.44,—
"Kavdaen, Trader of Skins",Rare,1HP220,$0.53,—
"Kayo, Berserker Runt",Rare,1HP003,$0.48,—
Last Ditch Effort,Majestic,1HP362,$0.32,—
Leg Tap (Blue),Common,1HP118,$0.13,—
Leg Tap (Red),Common,1HP116,$0.13,—
Leg Tap (Yellow),Common,1HP117,$0.11,—
Lesson in Lava,Majestic,1HP311,$0.93,—
Life for a Life (Blue),Rare,1HP370,$0.15,—
Life for a Life (Red),Rare,1HP368,$0.23,—
Life for a Life (Yellow),Rare,1HP369,$0.13,—
Lord of Wind,Majestic,1HP101,$1.33,—
Mage Master Boots,Common,1HP357,$0.33,—
Mandible Claw (1HP004),Rare,1HP004,$0.25,—
Mandible Claw (1HP005),Rare,1HP005,$0.69,—
Mangle,Majestic,1HP051,$0.67,—
Mask of Momentum,Legendary,1HP095,$68.53,—
Massacre,Majestic,1HP012,$1.51,—
Mauvrion Skies (Blue),Rare,1HP278,$0.99,—
Mauvrion Skies (Red),Rare,1HP276,$0.29,—
Mauvrion Skies (Yellow),Rare,1HP277,$0.48,—
Meat and Greet (Blue),Common,1HP287,$0.34,—
Meat and Greet (Red),Common,1HP285,$0.24,—
Meat and Greet (Yellow),Common,1HP286,$0.41,—
Metacarpus Node,Majestic,1HP307,$6.03,—
Mordred Tide,Majestic,1HP268,$3.50,—
Mugenshi: RELEASE,Majestic,1HP102,$0.93,—
Nature's Path Pilgrimage (Blue),Common,1HP179,—,—
Nature's Path Pilgrimage (Red),Common,1HP177,$0.10,—
Nature's Path Pilgrimage (Yellow),Common,1HP178,—,—
Nebula Blade,Common,1HP260,$0.65,—
Nimblism (Blue),Common,1HP419,$0.10,—
Nimblism (Red),Common,1HP417,$0.20,—
Nimblism (Yellow),Common,1HP418,$0.07,—
Nock the Deathwhistle,Majestic,1HP231,$2.98,—
Nullrune Boots,Common,1HP349,$0.41,—
Nullrune Gloves,Common,1HP348,$0.85,—
Nullrune Hood,Common,1HP346,$0.52,—
Nullrune Robe,Common,1HP347,$0.39,—
Oath of the Arknight (Blue),Rare,1HP281,$0.21,—
Oath of the Arknight (Red),Rare,1HP279,$0.20,—
Oath of the Arknight (Yellow),Rare,1HP280,$0.20,—
Optekal Monocle,Common,1HP219,$0.14,—
Out for Blood (Blue),Common,1HP167,$0.12,—
Out for Blood (Red),Common,1HP165,$0.24,—
Out for Blood (Yellow),Common,1HP166,$0.12,—
Over Loop (Blue),Common,1HP207,$0.07,—
Over Loop (Red),Common,1HP205,$0.12,—
Over Loop (Yellow),Common,1HP206,$0.09,—
Overpower (Blue),Rare,1HP155,$0.21,—
Overpower (Red),Rare,1HP153,$0.22,—
Overpower (Yellow),Rare,1HP154,$0.12,—
Pack Hunt (Blue),Common,1HP027,—,—
Pack Hunt (Red),Common,1HP025,$0.19,—
Pack Hunt (Yellow),Common,1HP026,—,—
Pedal to the Metal (Blue),Rare,1HP198,$0.30,—
Pedal to the Metal (Red),Rare,1HP196,$0.19,—
Pedal to the Metal (Yellow),Rare,1HP197,$0.30,—
Perch Grapplers,Majestic,1HP227,$8.78,—
Plasma Barrel Shot,Rare,1HP183,$0.71,—
Plasma Purifier,Majestic,1HP190,$2.40,—
Plunder Run (Blue),Rare,1HP380,$0.25,—
Plunder Run (Red),Rare,1HP378,$0.45,—
Plunder Run (Yellow),Rare,1HP379,$0.33,—
Potion of Strength,Rare,1HP382,$0.51,—
Primeval Bellow (Blue),Common,1HP042,$0.13,—
Primeval Bellow (Red),Common,1HP040,$0.08,—
Primeval Bellow (Yellow),Common,1HP041,$0.59,—
Pummel (Blue),Common,1HP401,$0.17,—
